relative_path,source_seconds,separator_start,separator_end,output_seconds_target,source_bytes,output_bytes,status
m/modest.mp3,2.690000,0.749388,1.878367,0.849388,10988,3779,silence_separator
m/modify.mp3,2.950000,0.871973,2.001678,0.971973,12033,4301,silence_separator
m/moist.mp3,2.510000,0.628980,1.770385,0.728980,10257,3257,silence_separator
m/moisture.mp3,2.770000,0.754286,1.919410,0.854286,11302,3779,silence_separator
m/molecule.mp3,3.060000,0.890975,2.050839,0.990975,12452,4302,silence_separator
m/moment.mp3,2.610000,0.684444,1.815873,0.784444,10675,3466,silence_separator
m/momentum.mp3,2.980000,0.870023,2.015782,0.970023,12138,4301,silence_separator
m/monday.mp3,2.560000,0.650975,1.802404,0.750975,10466,3361,silence_separator
m/money.mp3,2.350000,0.536054,1.700091,0.636054,9631,2943,silence_separator
m/monitor.mp3,2.690000,0.710113,1.871519,0.810113,10989,3570,silence_separator
m/monkey.mp3,2.640000,0.682630,1.852562,0.782630,10780,3466,silence_separator
m/monopoly.mp3,2.950000,0.851519,2.005805,0.951519,12033,4197,silence_separator
m/monster.mp3,2.850000,0.796463,1.957596,0.896463,11615,3988,silence_separator
m/month.mp3,2.300000,0.516009,1.669342,0.616009,9422,2839,silence_separator
m/monthly.mp3,2.690000,0.700499,1.879138,0.800499,10989,3570,silence_separator
m/monument.mp3,2.980000,0.869977,2.008662,0.969977,12138,4302,silence_separator
m/mood.mp3,2.350000,0.568299,1.703039,0.668299,9630,3047,silence_separator
m/moon.mp3,2.320000,0.544943,1.666440,0.644943,9526,2943,silence_separator
m/moral.mp3,2.400000,0.569796,1.726485,0.669796,9839,3048,silence_separator
m/morality.mp3,2.870000,0.792381,1.961088,0.892381,11720,3988,silence_separator
m/more.mp3,2.380000,0.562177,1.714467,0.662177,9735,3048,silence_separator
m/moreover.mp3,2.720000,0.729796,1.868481,0.829796,11093,3675,silence_separator
